date,imoex,ofz5y,eps_fwd,coe,erp,pe
2025-01-03,2828.5,16.5671667599,760.0,0.2686936538801485,0.10302198628114848,3.7217105263157895
2025-01-06,2816.26,16.4753178414,760.0,0.2698614474515847,0.10510826903758469,3.705605263157895
2025-01-08,2840.79,16.3666441405,760.0,0.267531214908529,0.10386477350352899,3.7378815789473685
2025-01-09,2773.12,16.720658758,760.0,0.27405954304177244,0.10685295546177245,3.648842105263158
2025-01-10,2824.59,16.7288701906,760.0,0.26906559890107945,0.10177689699507947,3.7165657894736843
2025-01-13,2866.11,16.66759663,760.0,0.2651677709508707,0.0984918046508707,3.7711973684210527
2025-01-14,2859.51,16.7074738491,760.0,0.26577980143451146,0.09870506294351145,3.762513157894737
2025-01-15,2842.96,16.9343700657,760.0,0.2673270112840138,0.09798331062701379,3.7407368421052634
2025-01-16,2911.29,16.8955212806,760.0,0.2610526605044499,0.09209744769844991,3.830644736842105
2025-01-17,2945.52,17.0016473979,760.0,0.25801895760341126,0.08800248362441124,3.8756842105263156
2025-01-20,2929.55,16.8275683213,760.0,0.2594255090372241,0.09114982582422412,3.8546710526315793
2025-01-21,2934.71,16.9415722955,760.0,0.2589693700570073,0.08955364710200733,3.8614605263157897
2025-01-22,2972.62,16.9290034066,760.0,0.2556667182485484,0.08637668418254843,3.9113421052631576
2025-01-23,2926.1,16.989728287,760.0,0.25973138306961485,0.08983410019961488,3.8501315789473685
2025-01-24,2947.94,16.993906684,760.0,0.25780714668548205,0.08786807984548206,3.8788684210526316
2025-01-27,2891.39,16.7998220655,760.0,0.26284935619200456,0.09485113553700456,3.8044605263157893
2025-01-28,2931.97,16.8102257231,760.0,0.2592113834725458,0.0911091262415458,3.8578552631578944
2025-01-29,2950.68,16.9201544703,760.0,0.2575677470955848,0.08836620239258475,3.882473684210526
2025-01-30,2967.47,17.0069270941,760.0,0.2561104240312455,0.08604115309024551,3.904565789473684
2025-01-31,2948.1,17.0836672576,760.0,0.25779315491333404,0.08695648233733405,3.879078947368421
2025-02-03,2926.17,17.3152209577,760.0,0.25972516976115534,0.08657296018415533,3.8502236842105266
